,Author & Year,"Methodology / Approach (Modules, Methods, & Tech Stack)",Dataset Used,Key Findings (At least 3 main findings),Limitations,Future Scope
A Review of Facial Thermography Assessment for Vital Signs Estimation,Tarmizi et al. (2022),"• Core Technology: Passive Thermal Infrared Machine Vision (TIRMV) mapping skin radiation thermodynamics.• Face Tracking & ROI Modules: Evaluated RetinaFace, UltraLight, Yolov3, and LFFD for global tracking; Viola-Jones, active contours, and Tracking-Learning-Detection (TLD) predator algorithms for local features.• Feature Descriptors: Grayscale conversion models via Contrast Limited Adaptive Histogram Equalization (CLAHE), Local Binary Patterns (LBP), Histograms of Oriented Gradients (HOG), Dense SIFT (DSIFT), and Gray Level Co-Occurrence Matrices (GLCM).• Classifiers Stack: Multi-class Support Vector Machines (SVM), Random Forests (RF), K-Nearest Neighbors (KNN), and Convolutional Neural Networks (CNNs).","Various open-access and custom clinical datasets (Equinox HID, USTC-NVIE, IRDatabase, Terravic).","1. Darkness Operability: Passive TIRMV networks do not require active light sources, enabling continuous physiological mapping in complete dark settings.2. Algorithmic Primacy: CNN classifiers drastically outperform traditional classifiers across all visual deformations, securing 98% accuracy for head poses and 100% for lighting.3. Tracking Benchmarks: Global tracking frameworks achieve peak operational precision, with RetinaFace demonstrating a 99.95% facial localization correctness rate.",Thermal imaging frequently suffers from low resolution and structural blending; a significant gender bias exists in historical data (predominantly male cohorts).,Transitioning algorithms into real-time embedded or mobile devices to assist home health monitoring; modifying extraction models to accurately map faces with eyeglasses or protective masks.
Assessment of beat-to-beat heart rate detection method using a camera as contactless sensor,Iozzia et al. (2016),• Core Technology: Video-photoplethysmography (videoPPG) running a custom MATLAB automation pipeline.• Signal Extraction Module: CHROM (Chrominance-based) scattered light reflection mathematical mapping.• Hardware Stack: GigE Sony XCG-C30C digital camera paired with a Tamron 15mm fixed focal length lens array.• ROI & Preprocessing: Frame-by-frame automatic facial sub-region segmentation paired with instantaneous peak detection filtering.,26 healthy human volunteers evaluated during a dynamic rest-to-stand physical maneuver.,1. Posture Performance Variances: Postural states change overall signal fidelity; the automated system secures a 95% beat-detection accuracy during supine states but slips to 92% when standing.2. Negligible Rest Bias: The instantaneous heart rate tracking loop displays an ultra-low mean mathematical measurement bias of just +0.04 bpm during resting phases.3. Standing Margin of Error: Transitioning into active standing environments increases the sensor tracking standard deviation slightly to ±4.26 bpm due to physiological micro-swaying.,"Transitioning to a standing posture introduces balance-maintenance movements, creating larger motion artifacts that degrade the signal-to-noise ratio (SNR).",Stress-testing the automated model's structural boundaries with a significantly expanded subject pool and a completely unconstrained environmental setup.
Clinical Validation of rPPG-Enabled Contactless Pulse Rate Monitoring Software in Cardiovascular Disease Patients,Chin et al. (2026),"• Core Technology: Proprietary rPPG pipeline commercialized by PanopticAI (FDA Class II clearance).• Software Modules: Frame-by-frame face localization tracking, pixel skin masking, and dynamic spatial filtering.• Signal Architecture: Cloud-based processing server accepting anonymized multi-channel RGB time-series signals.• Analytics & Peak Estimation Stack: Bandpass frequency domain filter mapping the standard physiological cardiac range paired with dominant spectral peak indicators.",Clinical trial dataset encompassing 50 adults with confirmed Cardiovascular Disease (CVD) at PWH Phase 1 Centre.,"1. High Statistical Equivalence: The cloud-based software aligns directly with medical gold-standard ECGs, locking in a low Mean Absolute Error (MAE) of 1.061 bpm.2. Demographic Resilience: Mixed-effects regression models prove that age, skin tone variations, or varying indoor illuminance (126 to 547 lux) do not destabilize accuracy.3. Clinical Feasibility: Achieved a high Pearson correlation (R=0.962), proving the system's readiness for long-term contactless cardiac evaluation in high-risk patient rooms.","Inherent modality gaps exist between cardiac electrical activity and mechanical blood flow; peripheral pulse waves smooth out, meaning non-perfusing ectopic beats are missed.","Expanding verification trials to explicitly cover highly irregular cardiac rhythms (e.g., active arrhythmias) and validating alternative vital signs across diverse ethnic cohorts."
DLPrPPG: Development and Design of Deep Learning Platform for Remote Photoplethysmography,Yan et al. (2022),"• Core Technology: Open-source neural network comparative development ecosystem hosted on GitHub (DLPrPPG).• Deep Learning Platforms Stack: 1D Convolutional Autoencoder (CNN-AE), Stacked Long Short-Term Memory (LSTM), Bidirectional LSTM (BiLSTM), Conditional GAN (cGAN), and Vanilla Transformer Encoders.• Optimization Modules: Wasserstein GAN with Gradient Penalty (WGAN-GP), Spectral Normalization (SN-GAN), PReLUs, and Tanh activation configurations.• Loss Modules: L1 Loss, L2 Loss, and custom L1 Loss-Expand (LE).",Public UBFC dataset (42 synchronized high-fidelity video recordings with native reference PPG waveforms).,"1. Legacy Framework Value: Properly optimized hyperparameter models prove that older network frameworks (like CNN-AE) achieve identical or superior accuracy to complex modern neural networks.2. LSTM Structural Edge: Stacked LSTM and BiLSTM modules demonstrate the highest consistency and minimum training volatility across varying window sizes.3. GAN Training Hazards: cGAN networks suffer from systemic mathematical volatility due to complex saddle-point losses, demanding strict SN-GAN structural normalization constraints.","Generative Adversarial Networks (GANs) display high training instability and behavioral inconsistency due to their complex, saddle-point loss landscape.",Encouraging researchers to perform highly customized hyperparameter optimization on a case-by-case basis rather than blindly copying configurations from prior text.
Exploiting Spatial Redundancy of Image Sensor for Motion Robust rPPG,Wang et al. (2015),"• Core Technology: Pixel-to-pixel spatiotemporal motion-compensated pulse extraction.• Tracking Modules: Circulant Structure of Tracking-by-Detection with Kernels (CSK) for fast global tracking; Farneback Dense Optical Flow for local motion vector compensation.• Spatial Pruning Block: One-Class Support Vector Machine (OC-SVM) trained on intensity-normalized RGB and YCrCb descriptors (r−g,r−b,Y−Cr,Y−Cb).• Temporal Optimization: Overlap-Add processing utilizing Hann windows and Principal Component Analysis (PCA) decomposition.","36 highly challenging benchmark videos representing balanced genders, 3 skin tone levels, and 6 rigid/non-rigid motion parameters.","1. Massive SNR Multiplier: Exploiting individual sensor pixel channels shifts the baseline signal-to-noise ratio from a noisy 3.34 dB up to a robust 6.76 dB.2. Tracking Agreement Gain: The spatial pixel processing engine increases the system's baseline reference pulse rate tracking matching correlation from 55% up to 80% correct.3. Melanin Resilience: Hyperplane OC-SVM skin segmentation isolates features without any pre-defined color charts, rendering the sorting invariant to distinct skin tones.","Higher melanin concentration in darker skin types absorbs a significant portion of the diffuse light reflections, inherently lessening the visible pulse signal relative to specular glare.",Adapting the spatiotemporal tracking models to completely unconstrained medical settings and collecting data for a wider spectrum of intermediate skin-tone scales.
Non-Contact Vision-Based Techniques of Vital Sign Monitoring: Systematic Review,Saikevičius et al. (2024),"• Core Technology: Systematic Literature Review (SLR) evaluating multi-modal imaging photoplethysmography (iPPG/rPPG).• Data Analytics Stack: PRISMA guidelines exploration, Connected Papers relational citation tracking networks.• Coding & Content Extraction Module: MaxQDA data analytics tool for advanced categorical sorting and semantic variable indexing.• Evaluation Stack: Standardization algorithms evaluating MAE, RMSE, Mean Error (ME), Standard Deviation (STD), and MAPE.",Comprehensive metanalysis sorting 948 core papers down to 110 chosen high-impact journal articles.,"1. Pandemic Research Surge: Long-term metric auditing shows an explosion in home-health contactless tracking, driven directly by isolation demands during the COVID-19 pandemic.2. Oxygen Saturation Stability: Unsupervised spatial-pooling networks establish reliable non-contact oxygen tracking metrics (SpO2​), maintaining errors within secure bounds.3. Blood Pressure Instability: Remote blood pressure models (mmHg) via systolic/diastolic timing metrics remain volatile and fail to satisfy clinical universal verification criteria.",There is a structural shortage of open-source datasets containing synchronized medical labels for blood pressure; most current published literature overemphasizes theoretical simulations over real-world use.,"Prioritizing real-world clinical validation for home testing, expanding the availability of open data, and investigating the long-term reliability of continuous physiological extraction over months."
Remote Photoplethysmography for Heart Rate and Blood Oxygenation Measurement: A Review,Pirzada et al. (2024),"• Core Technology: Meta-analytic component review tracking optical extinction coefficient changes between Oxy-Hb and Deoxy-Hb.• Face Tracking Stack: Viola-Jones bounding filters, Multitask Cascaded Convolutional Networks (MTCNN), OpenFace, and Discriminative Response Map Fitting (DRMF).• Signal Extraction Stack: Spatial Pooling pixel-averaging modules, Detrending filters, and Smoothing moving averages.• Mathematical Decompositions: PCA, Independent Component Analysis (ICA), FastICA, RobustICA, and Laplacian Eigenmaps (LE).","Longitudinal database study evaluating hardware metrics across laptop webcams, MS Kinect V2, Kinect Azure, and UWB radars.","1. Green Channel Seniority: Cross-examination confirms the green wavelength band contains the highest physiological light absorption rate, producing the absolute cleanest pulse wave.2. Ratiometric Saturation Mapping: Stable SpO2​ estimation is achieved by computing the relative absorbance ratios between Red (660nm) and Infrared (940nm) channels.3. Unsupervised Deep Growth: While traditional blind source separation is prone to noise, modern unsupervised spatial-temporal CNNs display the highest noise-rejection capacity.","Signal reading reliability degrades under subtle environmental noise, such as multi-person occlusion, microfacial expressions, heavy makeup foundation, and low camera bit-depth/FPS jitters.",Engineering high-precision models that extract underlying physiological data for multi-user shared settings; implementing higher bit-depth video inputs to boost the mathematical quantum efficiency of the signal.
Self-Similarity Prior Distillation for Unsupervised Remote Physiological Measurement,Zhang et al. (2024),"• Core Technology: Unsupervised Self-Similarity Prior Distillation (SSPD) framework.• Spatial-Temporal Augmentation Modules: Local-Global Augmentation (LGA) spatial blocks paired with temporal Masked Difference Modeling (MDM).• Network Blocks Stack: 3D CNN or Vision Transformer Backbone, Predictor Module, and a training-only Separable Self-Similarity Model (S3M) utilizing multi-head dot-product attention.• Distillation Paradigm Stack: Hierarchical target-to-online Exponential Moving Average (EMA) passing Temporal Similarity Pyramid Distillation (TSPD) and rPPG Prediction Distillation (RPD).","Multi-dataset validation on four prominent databases: PURE, UBFC-rPPG, VIPL-HR, and MR-NIRP.","1. Unsupervised Dominance: SSPD exceeds all existing unsupervised algorithms and matches or beats fully supervised deep models without ever needing BVP reference labels.2. Computational GFLOP Collapse: The Separable Self-Similarity Model (S3M) functions solely as a training auxiliary, leading to a massive 3x reduction in runtime GFLOP complexity during inference.3. Rhythm Decoupling Mastery: The network successfully decouples fine-grained periodic cardiac cycles by evaluating Upper Triangular token similarity metrics.",The network's linear predictor cannot accurately decouple underlying rPPG waveforms until the deep structural backbone has mapped out reliable self-similarity coordinates in early training.,Extending the deep spatial-temporal layers to map spatial self-similarity across facial blood flow sub-regions; utilizing the framework to fine-tune complex downstream analytics like driver fatigue classification.
Video-Based Heart Rate Measurement: Recent Advances and Future Prospects,Chen et al. (2019),"• Core Technology: Systematical survey profiling the mathematical transformation from Blind Source Separation (BSS) to core Skin Reflection Models.• Mathematical Model-Based Tuning: Chrominance-based model (CHROM), Blood Volume Pulse Signature (PBV), and Plane-Orthogonal-to-Skin algorithm (POS).• Advanced Filtering & Transforms: Ensemble Empirical Mode Decomposition (EEMD), Joint Blind Source Separation (JBSS), and Normalized Least Mean Square (NLMS) adaptive filters.• Motion Amplification Modules: Eulerian Video Magnification (EVM) utilizing spatial decomposition and temporal band-pass filters.","Systematic mapping tracking performance across benchmark repositories including MAHNOB-HCI, DEAP, PURE, and COHFACE.","1. POS Operational Supremacy: Mathematical analysis proves the POS (Plane-Orthogonal-to-Skin) core algorithm delivers the highest overall specular noise rejection during complex facial motion.2. BSS Structural Failure: Generic blind source separation (ICA/PCA) models fail when ambient light frequencies overlap directly with the standard human pulse band (0.75 to 4 Hz).3. Illumination Correction: Integrating Joint Blind Source Separation (JBSS) with EEMD separates environmental background illumination shifts, outclassing vanilla green-channel baseline methods.",All evaluated baseline methods lose performance or fail completely when the underlying frequency of ambient light changes or body motion directly overlaps with the standard heart rate spectrum (0.75–4 Hz).,Integrating semi-blind source separation models that accept explicit structural anchors; implementing compression-tolerant rPPG mathematics to handle regular video codecs; engineering multi-camera space-seamless tracking array systems.
"VitalHub: Robust, Non-Touch Multi-User Vital Signs Monitoring using Depth Camera-Aided UWB",Xie et al. (2021),• Core Technology: Passive sensing via co-located Ultra-Wide Band (UWB) pulse radar and a structured depth camera array.• Pre-processing & Phase Modules: Sampling Time Offset (STO) calibration loops designed to erase high-frequency desynchronization drifts (23.328 GHz).• Signal Quality Detector: 2D spectral likelihood heatmaps feeding a deep 2D ResNet convolution backbone.• Decision Framework: Probabilistic Weighted Framework (PWF) constantly tuning real-time weights across 4 discrete RR/HR signal estimators.• Identity Module: Depth skeletal pose tracking models capturing unique walking gaits for home user discrimination.,Longitudinal collection tracking 8 adult subjects across 56 independent tracking sessions encompassing both stationary and active swaying states.,"1. Harmonics & Intermodulation Defeat: The PWF successfully resolves non-linear channel intermodulation products ({mfh​±nfr​}), preventing respiration signals from masking weak heartwaves.2. Ultra-Low Spectral Error: VitalHub locks down 80th-percentile errors to just 1.5 breaths per minute for RR and 3.2 beats per minute for HR, matching theoretical oracle ceilings.3. Near-Human Motion Sorting: The ResNet heatmap signal quality detector secures a 96% precision and recall rate, accurately throwing out motion-corrupted frames.",Respiration rate error increases significantly (tripling) when the user's bodily orientation is turned at a 90-degree side-profile relative to the UWB transceiver array.,Restructuring the system around multi-sensor spatial deployments to avoid adverse profile angles; building out active body-motion cancellation algorithms to expand the physical freedom of monitored users.